Country,Year,PopulationInThousands,Population
Australia,2013,22263,22263000
Australia,2014,22508,22508000
Australia,2015,22751,22751000
Australia,2016,22993,22993000
Australia,2017,23232,23232000
Australia,2018,23470,23470000
United States,2013,316205,316205000
United States,2014,318563,318563000
United States,2015,320897,320897000
United States,2016,323128,323128000
United States,2017,326626,326626000
United States,2018,329256,329256000
Japan,2013,127253,127253000
Japan,2014,127103,127103000
Japan,2015,126920,126920000
Japan,2016,126702,126702000
Japan,2017,126451,126451000
Japan,2018,126168,126168000
United Kingdom,2013,63396,63396000
United Kingdom,2014,63743,63743000
United Kingdom,2015,64088,64088000
United Kingdom,2016,64430,64430000
United Kingdom,2017,64769,64769000
United Kingdom,2018,65105,65105000