State,Year,Population
Alabama,2013,4833722
Alabama,2014,4849377
Alabama,2015,4858979
Alabama,2016,4863300
Alabama,2017,4874747
Alaska,2013,735132
Alaska,2014,736732
Alaska,2015,738432
Alaska,2016,741894
Alaska,2017,739795
Arizona,2013,6626624
Arizona,2014,6731484
Arizona,2015,6828065
Arizona,2016,6931071
Arizona,2017,7016270
Arkansas,2013,2959373
Arkansas,2014,2966369
Arkansas,2015,2978204
Arkansas,2016,2988248
Arkansas,2017,3004279
California,2013,38332521
California,2014,38802500
California,2015,39144818
California,2016,39250017
California,2017,39536653
Colorado,2013,5268367
Colorado,2014,5355866
Colorado,2015,5456574
Colorado,2016,5540545
Colorado,2017,5607154
Connecticut,2013,3596080
Connecticut,2014,3596677
Connecticut,2015,3590886
Connecticut,2016,3576452
Connecticut,2017,3588184
Delaware,2013,925749
Delaware,2014,935614
Delaware,2015,945934
Delaware,2016,952065
Delaware,2017,961939
District of Columbia,2013,646449
District of Columbia,2014,658893
District of Columbia,2015,672228
District of Columbia,2016,681170
District of Columbia,2017,693972
Florida,2013,19552860
Florida,2014,19893297
Florida,2015,20271272
Florida,2016,20612439
Florida,2017,20984400
Georgia,2013,9992167
Georgia,2014,10097343
Georgia,2015,10214860
Georgia,2016,10310371
Georgia,2017,10429379
Hawaii,2013,1404054
Hawaii,2014,1419561
Hawaii,2015,1431603
Hawaii,2016,1428557
Hawaii,2017,1427538
Idaho,2013,1612136
Idaho,2014,1634464
Idaho,2015,1654930
Idaho,2016,1683140
Idaho,2017,1716943
Illinois,2013,12882135
Illinois,2014,12880580
Illinois,2015,12859995
Illinois,2016,12801539
Illinois,2017,12802023
Indiana,2013,6570902
Indiana,2014,6596855
Indiana,2015,6619680
Indiana,2016,6633053
Indiana,2017,6666818
Iowa,2013,3090416
Iowa,2014,3107126
Iowa,2015,3123899
Iowa,2016,3134693
Iowa,2017,3145711
Kansas,2013,2893957
Kansas,2014,2904021
Kansas,2015,2911641
Kansas,2016,2907289
Kansas,2017,2913123
Kentucky,2013,4395295
Kentucky,2014,4413457
Kentucky,2015,4425092
Kentucky,2016,4436974
Kentucky,2017,4454189
Louisiana,2013,4625470
Louisiana,2014,4649676
Louisiana,2015,4670724
Louisiana,2016,4681666
Louisiana,2017,4684333
Maine,2013,1328302
Maine,2014,1330089
Maine,2015,1329328
Maine,2016,1331479
Maine,2017,1335907
Maryland,2013,5928814
Maryland,2014,5976407
Maryland,2015,6006401
Maryland,2016,6016447
Maryland,2017,6052177
Massachusetts,2013,6692824
Massachusetts,2014,6745408
Massachusetts,2015,6794422
Massachusetts,2016,6811779
Massachusetts,2017,6859819
Michigan,2013,9895622
Michigan,2014,9909877
Michigan,2015,9922576
Michigan,2016,9928300
Michigan,2017,9962311
Minnesota,2013,5420380
Minnesota,2014,5457173
Minnesota,2015,5489594
Minnesota,2016,5519952
Minnesota,2017,5576606
Mississippi,2013,2991207
Mississippi,2014,2994079
Mississippi,2015,2992333
Mississippi,2016,2988726
Mississippi,2017,2984100
Missouri,2013,6044171
Missouri,2014,6063589
Missouri,2015,6083672
Missouri,2016,6093000
Missouri,2017,6113532
Montana,2013,1015165
Montana,2014,1023579
Montana,2015,1032949
Montana,2016,1042520
Montana,2017,1050493
Nebraska,2013,1868516
Nebraska,2014,1881503
Nebraska,2015,1896190
Nebraska,2016,1907116
Nebraska,2017,1920076
Nevada,2013,2790136
Nevada,2014,2839099
Nevada,2015,2890845
Nevada,2016,2940058
Nevada,2017,2998039
New Hampshire,2013,1323459
New Hampshire,2014,1326813
New Hampshire,2015,1330608
New Hampshire,2016,1334795
New Hampshire,2017,1342795
New Jersey,2013,8899339
New Jersey,2014,8938175
New Jersey,2015,8958013
New Jersey,2016,8944469
New Jersey,2017,9005644
New Mexico,2013,2085287
New Mexico,2014,2085572
New Mexico,2015,2085109
New Mexico,2016,2081015
New Mexico,2017,2088070
New York,2013,19651127
New York,2014,19746227
New York,2015,19795791
New York,2016,19745289
New York,2017,19849399
North Carolina,2013,9848060
North Carolina,2014,9943964
North Carolina,2015,10042802
North Carolina,2016,10146788
North Carolina,2017,10273419
North Dakota,2013,723393
North Dakota,2014,739482
North Dakota,2015,756927
North Dakota,2016,757952
North Dakota,2017,755393
Ohio,2013,11570808
Ohio,2014,11594163
Ohio,2015,11613423
Ohio,2016,11614373
Ohio,2017,11658609
Oklahoma,2013,3850568
Oklahoma,2014,3878051
Oklahoma,2015,3911338
Oklahoma,2016,3923561
Oklahoma,2017,3930864
Oregon,2013,3930065
Oregon,2014,3970239
Oregon,2015,4028977
Oregon,2016,4093465
Oregon,2017,4142776
Pennsylvania,2013,12773801
Pennsylvania,2014,12787209
Pennsylvania,2015,12802503
Pennsylvania,2016,12784227
Pennsylvania,2017,12805537
Rhode Island,2013,1051511
Rhode Island,2014,1055173
Rhode Island,2015,1056298
Rhode Island,2016,1056426
Rhode Island,2017,1059639
South Carolina,2013,4774839
South Carolina,2014,4832482
South Carolina,2015,4896146
South Carolina,2016,4961119
South Carolina,2017,5024369
South Dakota,2013,844877
South Dakota,2014,853175
South Dakota,2015,858469
South Dakota,2016,865454
South Dakota,2017,869666
Tennessee,2013,6495978
Tennessee,2014,6549352
Tennessee,2015,6600299
Tennessee,2016,6651194
Tennessee,2017,6715984
Texas,2013,26448193
Texas,2014,26956958
Texas,2015,27469114
Texas,2016,27862596
Texas,2017,28304596
Utah,2013,2900872
Utah,2014,2942902
Utah,2015,2995919
Utah,2016,3051217
Utah,2017,3101833
Vermont,2013,626630
Vermont,2014,626562
Vermont,2015,626042
Vermont,2016,624594
Vermont,2017,623657
Virginia,2013,8260405
Virginia,2014,8326289
Virginia,2015,8382993
Virginia,2016,8411808
Virginia,2017,8470020
Washington,2013,6971406
Washington,2014,7061530
Washington,2015,7170351
Washington,2016,7288000
Washington,2017,7405743
West Virginia,2013,1854304
West Virginia,2014,1850326
West Virginia,2015,1844128
West Virginia,2016,1831102
West Virginia,2017,1815857
Wisconsin,2013,5742713
Wisconsin,2014,5757564
Wisconsin,2015,5771337
Wisconsin,2016,5778708
Wisconsin,2017,5795483
Wyoming,2013,582658
Wyoming,2014,584153
Wyoming,2015,586107
Wyoming,2016,585501
Wyoming,2017,579315